"","Code","rel_growth_06","rel_growth_11","Species..names.not.updated.","Family","C.Cerrado..G.generalist.","Shade.Tolerance","Freq"
"85","DIMO",1.15408174376445,0.952422033810707,"Dimorphandra mollis Benth.","FABACEAE","C","I",48
"86","GUNO",1.16239027010152,0.939701923087907,"Guapira noxia (Netto) Lundell","NYCTAGINACEAE","C","I",2
"87","VOTU",1.18672580232955,1.08382743727093,"Vochysia tucanorum Mart.","VOCHYSIACEAE","G","I",844
"88","SYMO",1.18673262595903,1.39899824583463,"Symplocos revoluta Casar.","SYMPLOCACEAE","G","T",8
"89","STFE",1.18796616154709,1.21001444924779,"Styrax ferrugineus Nees & Mart.","STYRACACEAE","C","I",3
"90","MAGU",1.21489560415313,1.25479407406171,"Maprounea guianensis Aubl.","EUPHORBIACEAE","G","T",58
"91","SCPA",1.25075706577944,0.974350405107745,"Tachigali vulgaris L.G.Silva & H.C.Lima","FABACEAE","G","I",5
"92","PORA",1.25746279627773,1.16603429601062,"Pouteria ramiflora (Mart.) Radlk.","SAPOTACEAE","C","I",8
"93","BYCO",NA,1.10915411728542,"Byrsonima crassifolia (L.) Kunth","MALPIGHIACEAE","C","T",6
"94","ERTO",NA,1.00555273037042,"Erythroxylum tortuosum Mart.","ERYTHROXYLACEAE","C","I",6
"95","EUPU",NA,0.946532737859363,"Eugenia punicifolia (Kunth) DC.","MYRTACEAE","G","I",1
"96","FIGU",NA,1.0990422714568,"Ficus guaranitica Chodat","MORACEAE","G","T",1
"97","LAHA",NA,1.04501012262387,"Lacistema hasslerianum Chodat","LACISTEMATACEAE","G","T",5
"98","LIMO",NA,0.952794502466539,"Lithraea molleoides (Vell.) Engl.","ANACARDIACEAE","G","T",2
"99","MIAL",NA,1.11837822899103,"Miconia albicans (Sw.) Triana","MELASTOMATACEAE","C","T",16
"100","PIAX",NA,1.18008482240916,"Piptocarpha axillaris (Less.) Baker","ASTERACEAE","G","I",4
"101","RAGA",NA,1.00757260325239,"Myrsine gardneriana A.DC.","MYRSINACEAE","G","T",1
"102","SYPU",NA,0.966801872829579,"Symplocos pubescens Klotzsch ex Benth.","SYMPLOCOCEAE","C","I",2
"103","TIST",NA,0.971579658748443,"Pleroma stenocarpum (Schrank et Mart. ex DC.) Triana","MELASTOMATACEAE","G","I",2
