Old number,Current number,Plot,Subplot,a=2006; n=2011; nv=2016,Exclude,Added,Alive2006,Alive2011,Alive2016,Family,Species (names not updated),C=Cerrado; G=generalist; ,Shade Tolerance,H 2016 m,DAP1/16,DAP2/16,DAP3/16,DAP4/16,DAP5/16,DAP6/16,DAP7/16,G2016 (m2),dg2016 (cm),H 2011 (m),DAP 1/11,DAP2/11,DAP3/11,DAP4/11,DAP5/11,DAP6/11,DAP7/11,G2011 (m2),dg 2011 (cm),H 2006,DAP1/06,DAP2/06,DAP3/06,DAP4/06,DAP5/06,DAP6/06,DAP7/06,G2006 (m2),dg2006 (cm),dg 2006 cm,dg 2011 cm,dg 2016 cm,dbh annual increment(cm)_10 years
2527,2527,16,10,a,,2006,v,v,v,MELASTOMATACEAE,Miconia ligustroides (DC.) Naudin,C,T,9,12.9,7.7,,,,,,0.0177,15,8,11.5,6.5,,,,,,0.0137,13.2,6,7.4,,,,,,,0.0043,7.4,7.37,13.21,15.02,0.77
2362,2362,16,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,7,13.5,,,,,,,0.0143,13.5,6,8.9,,,,,,,0.0062,8.9,3.5,5.8,,,,,,,0.0027,5.8,5.84,8.9,13.5,0.77
3535,3535,30,6,a,,2006,v,v,v,EUPHORBIACEAE,Maprounea guianensis Aubl.,G,T,15,22.9,,,,,,,0.0412,22.9,12,19.7,,,,,,,0.0305,19.7,10,15.2,,,,,,,0.0182,15.2,15.24,19.7,22.9,0.77
2054,4438,20,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,18.6,,,,,,,0.0272,18.6,8,16.5,,,,,,,0.0214,16.5,4.5,10.9,,,,,,,0.0094,10.9,10.92,16.5,18.6,0.77
652,652,1,4,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,13.8,,,,,,,0.015,13.8,8,10,,,,,,,0.0079,10,5,6.1,,,,,,,0.0029,6.1,6.1,10,13.8,0.77
3812,3812,31,1,a,,2006,v,v,v,LAURACEAE,Persea wildenovii Kosterm.,G,T,18,26,,,,,,,0.0531,26,16,21.7,,,,,,,0.037,21.7,14,18.3,,,,,,,0.0263,18.3,18.29,21.7,26,0.77
711,711,1,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,12.8,,,,,,,0.0129,12.8,6,8.9,,,,,,,0.0062,8.9,4,5.1,,,,,,,0.002,5.1,5.08,8.9,12.8,0.77
2239,2239,14,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6,14.6,,,,,,,0.0167,14.6,7,12.2,,,,,,,0.0117,12.2,4.5,6.9,,,,,,,0.0037,6.9,6.86,12.2,14.6,0.77
3799,3799,35,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,18,27.6,,,,,,,0.0598,27.6,16,23,,,,,,,0.0415,23,15,19.8,,,,,,,0.0308,19.8,19.81,23,27.6,0.78
2261,2261,14,6,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,19.5,,,,,,,0.0299,19.5,6,17.3,,,,,,,0.0235,17.3,4.5,11.7,,,,,,,0.0107,11.7,11.68,17.3,19.5,0.78
3709,7096,35,3,a,,2006,v,v,v,LAURACEAE,Nectandra lanceolata Nees,G,T,18,25.6,,,,,,,0.0515,25.6,16,22.7,,,,,,,0.0405,22.7,15,17.8,,,,,,,0.0248,17.8,17.78,22.7,25.6,0.78
1683,1683,9,9,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,10,27,,,,,,,0.0573,27,9,23,,,,,,,0.0415,23,9,19.2,,,,,,,0.0289,19.2,19.18,23,27,0.78
1105,9368,4,7,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,17.5,,,,,,,0.0241,17.5,9,14.4,,,,,,,0.0163,14.4,6,9.7,,,,,,,0.0073,9.7,9.65,14.4,17.5,0.78
1461,6267,6,10,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,12,15,,,,,,,0.0177,15,9,11.7,,,,,,,0.0108,11.7,8,7.1,,,,,,,0.004,7.1,7.11,11.7,15,0.79
2745,2745,18,10,a,,2006,v,v,v,SYMPLOCACEAE,Symplocos mosenii Brand,G,T,12,15,,,,,,,0.0177,15,11,11.5,,,,,,,0.0104,11.5,7,7.1,,,,,,,0.004,7.1,7.11,11.5,15,0.79
6952,6952,28,3,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,13,17.9,,,,,,,0.0252,17.9,12,14,,,,,,,0.0154,14,12,10,,,,,,,0.0079,10,10,14,17.9,0.79
1199,6889,5,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,22.7,6.7,,,,,,0.044,23.7,7.5,18,,,,,,,0.0254,18,6,15.7,,,,,,,0.0195,15.7,15.75,18,23.67,0.79
1049,9361,4,3,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,17.7,,,,,,,0.0246,17.7,9,14.5,,,,,,,0.0165,14.5,5,9.8,,,,,,,0.0075,9.8,9.78,14.5,17.7,0.79
2380,103,16,4,a,,2006,v,v,v,LAURACEAE,Persea wildenovii Kosterm.,G,T,10,18.4,,,,,,,0.0266,18.4,9,14.5,,,,,,,0.0165,14.5,7,10.4,,,,,,,0.0085,10.4,10.41,14.5,18.4,0.8
719,719,1,9,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,8,19.2,,,,,,,0.029,19.2,8,16.2,,,,,,,0.0206,16.2,4,11.2,,,,,,,0.0098,11.2,11.18,16.2,19.2,0.8
1141,9401,5,1,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,18.2,,,,,,,0.026,18.2,7,14.9,,,,,,,0.0174,14.9,4,10.2,,,,,,,0.0081,10.2,10.16,14.9,18.2,0.8
1858,1858,11,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,13.4,,,,,,,0.0141,13.4,5,10,,,,,,,0.0079,10,4,5.3,,,,,,,0.0022,5.3,5.33,10,13.4,0.81
3863,3863,31,3,a,,2006,v,v,v,LAURACEAE,Persea wildenovii Kosterm.,G,T,15,50.5,,,,,,,0.2003,50.5,20,46.8,,,,,,,0.172,46.8,18,42.4,,,,,,,0.1413,42.4,42.42,46.8,50.5,0.81
2430,5252,14,10,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,8,11.3,7.8,,,,,,0.0148,13.7,6,8.8,5.9,,,,,,0.0088,10.6,4.5,5.6,,,,,,,0.0025,5.6,5.59,10.59,13.73,0.81
978,978,3,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,12.9,9.5,,,,,,0.0202,16,7,10.7,6.4,,,,,,0.0122,12.5,5,7.9,,,,,,,0.0049,7.9,7.87,12.47,16.02,0.81
3442,3442,30,5,a,,2006,v,v,v,LAURACEAE,Nectandra cuspidata Nees & Mart.,G,T,15,25.2,,,,,,,0.0499,25.2,13,21.5,,,,,,,0.0363,21.5,11,17,,,,,,,0.0227,17,17.02,21.5,25.2,0.82
4455,4455,33,9,a,,2006,v,v,v,EUPHORBIACEAE,Mabea fistulifera Mart.,G,T,19,32.1,,,,,,,0.0809,32.1,19,27.3,5.1,,,,,,0.0606,27.8,17,23.4,5.1,,,,,,0.0449,23.9,23.91,27.77,32.1,0.82
3218,4377,28,9,a,,2006,v,v,v,MALPIGHIACEAE,Byrsonima laxiflora Griseb. ,G,T,18,31.6,,,,,,,0.0784,31.6,16,27.9,,,,,,,0.0611,27.9,16,23.4,,,,,,,0.0429,23.4,23.37,27.9,31.6,0.82
3406,1557,30,3,a,,2006,v,v,v,LAURACEAE,Nectandra cuspidata Nees & Mart.,G,T,13,14.6,,,,,,,0.0167,14.6,10,9.7,,,,,,,0.0074,9.7,12,6.4,,,,,,,0.0032,6.4,6.35,9.7,14.6,0.83
2616,162,17,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6,16.4,,,,,,,0.0211,16.4,6,13,,,,,,,0.0133,13,3.5,8.1,,,,,,,0.0052,8.1,8.13,13,16.4,0.83
2074,2074,20,4,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,27.1,20,,,,,,0.0891,33.7,8,23,16.2,,,,,,0.0622,28.1,5.5,20.3,15.2,,,,,,0.0507,25.4,25.4,28.13,33.68,0.83
625,625,1,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,14,,,,,,,0.0154,14,8.4,10.2,,,,,,,0.0082,10.2,5,5.6,,,,,,,0.0025,5.6,5.59,10.2,14,0.84
2197,2197,12,7,a,,2006,v,v,v,FABACEAE,Plathymenia reticulata Benth.,C,I,5,9.5,9.6,9.5,,,,,0.0214,16.5,5,8.8,8.8,8.8,,,,,0.0182,15.2,4,5.8,5.6,,,,,,0.0051,8.1,8.08,15.24,16.51,0.84
1440,1440,6,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,15.2,16.3,,,,,,0.039,22.3,8,10.6,13.5,,,,,,0.0231,17.2,7,7.7,11.4,,,,,,0.0149,13.8,13.78,17.16,22.29,0.85
2238,2238,14,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,13,12,,,,,,0.0246,17.7,8,11.6,9.3,,,,,,0.0174,14.9,5,6.6,6.4,,,,,,0.0066,9.2,9.16,14.87,17.69,0.85
3661,1099,35,1,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,16,27.1,,,,,,,0.0577,27.1,15,23.4,,,,,,,0.043,23.4,15,18.5,,,,,,,0.027,18.5,18.54,23.4,27.1,0.86
1240,9771,7,2,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,9,20,,,,,,,0.0314,20,8,16.8,,,,,,,0.0222,16.8,6.5,11.4,,,,,,,0.0103,11.4,11.43,16.8,20,0.86
3665,7094,35,1,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,15,25.1,,,,,,,0.0495,25.1,14,21.5,,,,,,,0.0363,21.5,13,16.5,,,,,,,0.0214,16.5,16.51,21.5,25.1,0.86
1856,1856,11,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,9,11,13.8,,,,,,0.0245,17.6,8,11.2,7.8,,,,,,0.0146,13.6,5,7.1,5.6,,,,,,0.0064,9,9.04,13.65,17.65,0.86
3427,3427,30,4,a,,2006,v,v,v,FABACEAE,Sclerolobium paniculatum Vogel,G,I,20,32,,,,,,,0.0804,32,18,29.3,,,,,,,0.0674,29.3,16,23.4,,,,,,,0.0429,23.4,23.37,29.3,32,0.86
1964,6876,13,6,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,23.4,15.8,,,,,,0.0626,28.2,7,20,12,,,,,,0.0427,23.3,6,17,9.4,,,,,,0.0296,19.4,19.43,23.32,28.23,0.88
1104,1104,4,7,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,10,17.5,,,,,,,0.0241,17.5,9,13,,,,,,,0.0133,13,6,8.6,,,,,,,0.0059,8.6,8.64,13,17.5,0.89
1895,9458,11,9,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,9,17.5,,,,,,,0.0241,17.5,6.5,13.3,,,,,,,0.0139,13.3,5,8.6,,,,,,,0.0059,8.6,8.64,13.3,17.5,0.89
4324,4324,33,3,a,,2006,v,v,v,EUPHORBIACEAE,Mabea fistulifera Mart.,G,T,16,28.7,,,,,,,0.0647,28.7,18,24.7,,,,,,,0.0479,24.7,18,19.8,,,,,,,0.0308,19.8,19.81,24.7,28.7,0.89
928,929,2,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,13,24,,,,,,,0.0452,24,13,20,,,,,,,0.0314,20,10,15,,,,,,,0.0176,15,14.99,20,24,0.9
3782,7104,35,9,a,,2006,v,v,v,MALPIGHIACEAE,Byrsonima laxiflora Griseb. ,G,T,18,35.2,,,,,,,0.0973,35.2,16,31.5,,,,,,,0.0779,31.5,15,26.2,,,,,,,0.0538,26.2,26.16,31.5,35.2,0.9
2300,4303,14,8,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,8,14.4,,,,,,,0.0163,14.4,6,9.4,,,,,,,0.0069,9.4,5,5.3,,,,,,,0.0022,5.3,5.33,9.4,14.4,0.91
2339,6614,15,9,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,10,15.1,,,,,,,0.0179,15.1,8,12,,,,,,,0.0113,12,7,6,,,,,,,0.0028,6,5.97,12,15.1,0.91
1908,9436,13,1,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,15.8,,,,,,,0.0196,15.8,7.5,11.4,,,,,,,0.0102,11.4,6,6.6,,,,,,,0.0034,6.6,6.6,11.4,15.8,0.92
3738,1086,35,6,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,20,34.5,27.1,,,,,,0.1512,43.9,17,31.2,24.4,,,,,,0.1232,39.6,7,26.7,22.1,,,,,,0.0942,34.6,34.64,39.61,43.87,0.92
4413,4413,33,7,a,,2006,v,v,v,COMBRETACEAE,Terminalia glabrescens Mart.,G,I,17,18.4,,,,,,,0.0266,18.4,18,18,,,,,,,0.0254,18,15,9.1,,,,,,,0.0066,9.1,9.14,18,18.4,0.93
1038,8847,4,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6.5,15.8,,,,,,,0.0196,15.8,5,11.8,,,,,,,0.0109,11.8,4,6.4,,,,,,,0.0032,6.4,6.35,11.8,15.8,0.95
2232,2232,14,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,18.1,,,,,,,0.0257,18.1,7,14.6,,,,,,,0.0167,14.6,7,8.6,,,,,,,0.0059,8.6,8.64,14.6,18.1,0.95
1448,1448,6,9,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,11,24,30.2,30,,,,,0.1876,48.9,11,20.3,25.9,28,,,,,0.1466,43.2,11,23.4,25.9,18.3,,,,,0.1219,39.4,39.39,43.21,48.87,0.95
1062,8854,4,4,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,15.6,,,,,,,0.0191,15.6,9,11.2,,,,,,,0.0099,11.2,3.5,6.1,,,,,,,0.0029,6.1,6.1,11.2,15.6,0.95
1868,8835,11,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,14,19.8,,,,,,0.0462,24.2,7,12,18,,,,,,0.0368,21.6,6,8.4,12.1,,,,,,0.017,14.7,14.69,21.63,24.25,0.96
640,640,1,3,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,15.8,,,,,,,0.0196,15.8,8,10.9,,,,,,,0.0093,10.9,5,6.1,,,,,,,0.0029,6.1,6.1,10.9,15.8,0.97
2437,1512,15,1,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,11,21.1,,,,,,,0.035,21.1,10,17,,,,,,,0.0227,17,7,11.2,,,,,,,0.0098,11.2,11.18,17,21.1,0.99
2284,2284,14,7,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,15.8,,,,,,,0.0196,15.8,8.5,12.4,,,,,,,0.0121,12.4,5,5.8,,,,,,,0.0027,5.8,5.84,12.4,15.8,1
2373,4521,16,3,a,,2006,v,v,v,STYRACACEAE,Styrax ferrugineus Ness & Mart.,C,I,10,19.5,,,,,,,0.0299,19.5,8,14.4,,,,,,,0.0163,14.4,7,9.5,,,,,,,0.0071,9.5,9.53,14.4,19.5,1
6752,6752,10,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,24,,,,,,,0.0452,24,10,23.3,,,,,,,0.0426,23.3,9,14,,,,,,,0.0154,14,14,23.3,24,1
632,632,1,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,11,23.3,,,,,,,0.0426,23.3,11,19.5,,,,,,,0.0299,19.5,8,13.2,,,,,,,0.0137,13.2,13.21,19.5,23.3,1.01
663,663,1,5,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,9,11.8,9.6,,,,,,0.0182,15.2,9,9,6.8,,,,,,0.01,11.3,4,5.1,,,,,,,0.002,5.1,5.08,11.28,15.21,1.01
2264,8979,14,6,a,,2006,v,v,v,FABACEAE,Dimorphandra mollis Benth.,C,I,8,16.5,9,,,,,,0.0277,18.8,7,16,,,,,,,0.0201,16,6,8.6,,,,,,,0.0059,8.6,8.64,16,18.79,1.02
6936,6936,27,6,a,,2006,v,v,v,VOCHYSIACEAE,Qualea grandiflora Mart.,C,I,12,16.7,,,,,,,0.0219,16.7,11,12,,,,,,,0.0113,12,10,6.5,,,,,,,0.0033,6.5,6.5,12,16.7,1.02
1034,8697,4,1,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,17.6,,,,,,,0.0243,17.6,6,14,,,,,,,0.0154,14,4,7.4,,,,,,,0.0043,7.4,7.37,14,17.6,1.02
1891,9456,11,9,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,10,17.2,,,,,,,0.0232,17.2,8,12.2,,,,,,,0.0117,12.2,5.5,6.9,,,,,,,0.0037,6.9,6.86,12.2,17.2,1.03
3634,178,32,10,a,,2006,v,v,v,LAURACEAE,Persea wildenovii Kosterm.,G,T,18,32.7,,,,,,,0.084,32.7,17,27.2,,,,,,,0.0581,27.2,17,22.4,,,,,,,0.0392,22.4,22.35,27.2,32.7,1.03
3766,7102,35,8,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,18,28.4,,,,,,,0.0633,28.4,17,23.5,,,,,,,0.0434,23.5,16,18,,,,,,,0.0255,18,18.03,23.5,28.4,1.04
679,6094,1,7,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,9,16,,,,,,,0.0201,16,8,10.5,,,,,,,0.0087,10.5,5,5.5,,,,,,,0.0024,5.5,5.5,10.5,16,1.05
1360,1360,6,3,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,11,16.5,19,,,,,,0.0497,25.2,9,14.6,15.4,,,,,,0.0354,21.2,7,11.4,9.1,,,,,,0.0168,14.6,14.64,21.22,25.16,1.05
1146,9388,5,1,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,19.8,8.3,,,,,,0.0362,21.5,7,16.5,,,,,,,0.0214,16.5,6.5,10.9,,,,,,,0.0094,10.9,10.92,16.5,21.47,1.05
1196,1196,5,7,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,12,19.8,,,,,,,0.0308,19.8,9,15.5,,,,,,,0.0189,15.5,6,9.1,,,,,,,0.0066,9.1,9.14,15.5,19.8,1.07
2306,6445,15,7,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9.5,26.5,,,,,,,0.0552,26.5,9,22.3,,,,,,,0.0391,22.3,6,15.7,,,,,,,0.0195,15.7,15.75,22.3,26.5,1.08
1223,1223,5,10,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,11,13.4,,,,,,0.0236,17.3,7,9.6,10.8,,,,,,0.0164,14.4,4,6.5,,,,,,,0.0033,6.5,6.48,14.45,17.34,1.09
2013,2013,19,5,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,6,12,5.4,8,,,,,0.0186,15.4,5,10.5,5.2,6.4,,,,,0.014,13.4,11.9,4.5,,,,,,,0.0016,4.5,4.5,13.35,15.4,1.09
4482,1024,34,1,a,,2006,v,v,v,MALPIGHIACEAE,Byrsonima laxiflora Griseb. ,G,T,20,37.3,,,,,,,0.1093,37.3,17,32.3,,,,,,,0.0819,32.3,15,26.2,,,,,,,0.0538,26.2,26.16,32.3,37.3,1.11
1443,5339,6,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6,25,,,,,,,0.0491,25,6,20,,,,,,,0.0314,20,6,13.2,,,,,,,0.0137,13.2,13.21,20,25,1.18
2379,6827,16,3,a,,2006,v,v,v,MALPIGHIACEAE,Byrsonima laxiflora Griseb. ,G,T,10,14.6,9.5,,,,,,0.0238,17.4,7,10.5,6.2,,,,,,0.0117,12.2,7,5.6,,,,,,,0.0025,5.6,5.59,12.19,17.42,1.18
2134,4433,20,10,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,9,12.4,10.1,7.6,,,,,0.0246,17.7,8,9.9,7.4,6,,,,,0.0148,13.7,5,5.6,,,,,,,0.0025,5.6,5.59,13.74,17.71,1.21
912,7513,2,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,18.9,,,,,,,0.0281,18.9,8,13.7,,,,,,,0.0147,13.7,3.5,6.6,,,,,,,0.0034,6.6,6.6,13.7,18.9,1.23
2303,1528,15,6,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,9,20,,,,,,,0.0314,20,6,13.4,,,,,,,0.0141,13.4,5,7.6,,,,,,,0.0046,7.6,7.62,13.4,20,1.24
2290,8984,14,7,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,9,9.7,10.6,12.9,,,,,0.0293,19.3,6,8.3,7.9,10.5,,,,,0.019,15.5,4,6.4,,,,,,,0.0032,6.4,6.35,15.54,19.31,1.3
3585,3585,32,7,a,,2006,v,v,v,EUPHORBIACEAE,Mabea fistulifera Mart.,G,T,16,16.8,10.1,,,,,,0.0302,19.6,14,15,8,,,,,,0.0227,17,11,6.4,,,,,,,0.0032,6.4,6.35,17,19.6,1.33
759,5629,2,3,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,19.9,,,,,,,0.0311,19.9,8,13.7,,,,,,,0.0147,13.7,5,6.6,,,,,,,0.0034,6.6,6.6,13.7,19.9,1.33
1974,1974,13,7,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,8,14,12.3,,,,,,0.0273,18.6,6,9.5,7.6,,,,,,0.0116,12.2,4.5,5.3,,,,,,,0.0022,5.3,5.33,12.17,18.64,1.33
3048,3048,27,9,a,,2006,v,v,v,LAURACEAE,Nectandra cuspidata Nees & Mart.,G,T,15,22.5,,,,,,,0.0398,22.5,12,15,,,,,,,0.0177,15,9,8.6,,,,,,,0.0059,8.6,8.64,15,22.5,1.39
2410,8996,14,9,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,12,25,,,,,,,0.0491,25,9,17.6,,,,,,,0.0243,17.6,5,10.3,,,,,,,0.0083,10.3,10.29,17.6,25,1.47
1991,6859,13,10,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,9,20.1,,,,,,,0.0317,20.1,6,14.5,,,,,,,0.0165,14.5,3,5.3,,,,,,,0.0022,5.3,5.33,14.5,20.1,1.48
2552,2552,17,2,a,,2006,v,v,v,PINACEAE,Pinus sp,,,13,22.4,,,,,,,0.0394,22.4,8,16.6,,,,,,,0.0216,16.6,6,7.6,,,,,,,0.0046,7.6,7.62,16.6,22.4,1.48
2242,1538,14,4,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,11,25.5,,,,,,,0.0511,25.5,8,19.5,5.9,,,,,,0.0326,20.4,5,10.7,,,,,,,0.0089,10.7,10.67,20.37,25.5,1.48
8841/1860,9477,11,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,13.9,20.2,23.5,7.4,,,,0.0949,34.8,8,12,14.8,17.5,7.2,,,,0.0566,26.9,6,5.6,10,14,,,,,0.0257,18.1,18.08,26.85,34.76,1.67
610,610,1,1,a,,2006,v,v,m,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,,,,,,,,,0,0,3.2,7.3,,,,,,,0.0042,7.3,2.5,5.1,,,,,,,0.002,5.1,5.08,7.3,0,NA
620,620,1,2,a,,2006,v,v,m,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,,<5,,,,,,,#VALUE!,#VALUE!,8.3,15,,,,,,,0.0177,15,11,12.2,,,,,,,0.0117,12.2,12.19,15,#VALUE!,NA
627,627,1,2,a,,2006,v,v,m,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,,,,,,,,,0,0,3.5,7.7,,,,,,,0.0047,7.7,4.5,8.1,,,,,,,0.0052,8.1,8.13,7.7,0,NA
623,623,1,2,a,,2006,v,v,m,MYRTACEAE,Myrcia bella Cambess,C,I,,,,,,,,,0,0,3,8.3,,,,,,,0.0054,8.3,2.5,8.1,,,,,,,0.0052,8.1,8.13,8.3,0,NA
626,626,1,2,a,,2006,v,v,m,FABACEAE,Dimorphandra mollis Benth.,C,I,,,,,,,,,0,0,3.5,12.1,,,,,,,0.0115,12.1,2.5,10.9,,,,,,,0.0094,10.9,10.92,12.1,0,NA
617,617,1,2,a,,2006,v,v,m,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,,,,,,,,,0,0,,<5,,,,,,,#VALUE!,#VALUE!,2,12.2,,,,,,,0.0117,12.2,12.19,,,NA
649,649,1,3,a,,2006,v,v,m,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,,<5,,,,,,,#VALUE!,#VALUE!,7,7.1,,,,,,,0.004,7.1,7,6.4,,,,,,,0.0032,6.4,6.35,7.1,#VALUE!,NA
647,647,1,3,a,,2006,v,v,m,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,,<5,,,,,,,#VALUE!,#VALUE!,7,8.5,,,,,,,0.0057,8.5,7,8.1,,,,,,,0.0052,8.1,8.13,8.5,#VALUE!,NA
645,645,1,3,a,,2006,v,v,m,FABACEAE,Copaifera langsdorffii Desf.,G,T,,,,,,,,,0,0,4,5.3,,,,,,,0.0022,5.3,4,5.1,,,,,,,0.002,5.1,5.08,5.3,0,NA
639,322,1,3,a,,2006,v,v,m,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,,,,,,,,,0,0,7,11.5,,,,,,,0.0104,11.5,7,10.4,,,,,,,0.0085,10.4,10.41,11.5,0,NA
633,633,1,3,a,,2006,v,v,m,MYRTACEAE,Myrcia bella Cambess,C,I,,,,,,,,,0,0,3.5,10,7.5,8.5,,,,,0.0179,15.1,3,10.2,7.6,8.6,,,,,0.0185,15.4,15.36,15.12,0,NA
635,635,1,3,a,,2006,v,m,m,FABACEAE,Acosmium subelegans (Mohlenbr.) Yakovlev,C,I,,,,,,,,,0,0,,,,,,,,,0,0,2,8.6,,,,,,,0.0059,8.6,8.64,,,NA
