Old number,Current number,Plot,Subplot,a=2006; n=2011; nv=2016,Exclude,Added,Alive2006,Alive2011,Alive2016,Family,Species (names not updated),C=Cerrado; G=generalist; ,Shade Tolerance,H 2016 m,DAP1/16,DAP2/16,DAP3/16,DAP4/16,DAP5/16,DAP6/16,DAP7/16,G2016 (m2),dg2016 (cm),H 2011 (m),DAP 1/11,DAP2/11,DAP3/11,DAP4/11,DAP5/11,DAP6/11,DAP7/11,G2011 (m2),dg 2011 (cm),H 2006,DAP1/06,DAP2/06,DAP3/06,DAP4/06,DAP5/06,DAP6/06,DAP7/06,G2006 (m2),dg2006 (cm),dg 2006 cm,dg 2011 cm,dg 2016 cm,dbh annual increment(cm)_10 years
1306,9707,7,7,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,5,8.2,,,,,,,0.0053,8.2,5,9.8,9.4,,,,,,0.0145,13.6,5,5.8,9.4,,,,,,0.0096,11.1,11.07,13.58,8.2,-0.29
4629,4629,34,8,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,18,13.7,13.6,,,,,,0.0293,19.3,16,13.1,13,13.1,,,,,0.0402,22.6,15,13,13,12.4,,,,,0.0385,22.1,22.15,22.63,19.3,-0.28
2678,2678,18,6,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,11,16.1,15.8,,,,,,0.04,22.6,11,15.7,16,,,,,,0.0395,22.4,11,15.2,20.3,,,,,,0.0507,25.4,25.4,22.42,22.56,-0.28
1689,1689,9,10,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,8,9.4,,,,,,,0.0069,9.4,6,7.6,,,,,,,0.0045,7.6,6,12.2,,,,,,,0.0117,12.2,12.19,7.6,9.4,-0.28
694,694,1,7,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,0,6.6,7.2,,,,,0.0075,9.8,6.5,13.8,,,,,,,0.015,13.8,8,12.4,,,,,,,0.0122,12.4,12.45,13.8,9.77,-0.27
2670,2670,18,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,9.1,,,,,,,0.0065,9.1,8,10.2,,,,,,,0.0082,10.2,8,11.7,,,,,,,0.0107,11.7,11.68,10.2,9.1,-0.26
1686,1686,9,10,a,,2006,v,v,v,FABACEAE,Stryphnodendron obovatum Benth.,C,I,4.5,7,,,,,,,0.0038,7,5,7,,,,,,,0.0038,7,4.5,6.1,7.4,,,,,,0.0072,9.6,9.56,7,7,-0.26
1497,1497,8,4,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,8,10.8,9.5,,,,,,0.0162,14.4,7,10,7.1,,,,,,0.0118,12.3,5,8.1,11.9,6.9,5.6,,,,0.0225,16.9,16.94,12.26,14.38,-0.26
3065,3065,28,1,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,11,16,,,,,,,0.0201,16,11,16,,,,,,,0.0201,16,10,15,10.9,,,,,,0.027,18.5,18.53,16,16,-0.25
2476,2476,15,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,9,18.6,,,,,,,0.0272,18.6,8,18.5,,,,,,,0.0269,18.5,9,10.4,18.3,,,,,,0.0348,21,21.05,18.5,18.6,-0.24
