"","Old.number","Current.number","Plot","Subplot","a.2006..n.2011..nv.2016","Exclude","Added","Alive2006","Alive2011","Alive2016","Family","Species..names.not.updated.","C.Cerrado..G.generalist.","Shade.Tolerance","H.2016.m","DAP1.16","DAP2.16","DAP3.16","DAP4.16","DAP5.16","DAP6.16","DAP7.16","G2016..m2.","dg2016..cm.","H.2011..m.","DAP.1.11","DAP2.11","DAP3.11","DAP4.11","DAP5.11","DAP6.11","DAP7.11","G2011..m2.","dg.2011..cm.","H.2006","DAP1.06","DAP2.06","DAP3.06","DAP4.06","DAP5.06","DAP6.06","DAP7.06","G2006..m2.","dg2006..cm.","dg.2006.cm","dg.2011.cm","dg.2016.cm","dbh.annual.increment.cm._10.years","Code","BA.above2006","BA.above2011","Died2011","Died2016","TBA.2006.m2ha.1","TBA.2011.m2.ha.1","Total.sand..","Clay..","Silt..","Coarse.sand..","Fine.sand..","Base.saturation.V..0.20cm","clay.silt..","Fine.sand.clay.silt","Areia.Grossa","Base.saturation.V..60.80cm","Canopy.cover..","Canopy.oppeness..","Transprecipitation.2006..","soil.humidity.0.20cm..","Diameter.increment.cm.yr","PC1","PC2"
"11","2749","4452","26","1","a",NA,"2006","v","v","v","BURSERACEAE","Protium heptaphyllum (Aubl.) Marchand","G","T","10","16.2",NA,NA,NA,NA,NA,NA,"0.0206","16.2",9,"15.8",NA,NA,NA,NA,NA,NA,0.0196,"15.8",12,"17.5","14.7",NA,NA,NA,NA,NA,0.0412,"22.9",22.9,15.8,16.2,-0.67,"PRHE",0.9818,1.9325,"n","n",19.96,22.32469147,69.17,16.17,4.64,36.02,43.17,6.7,20.8,64,36.02,10.1,90.624,9.38,85.76,0.43,0.2,1.64860710067828,0.996777177784557
"12","1942","1942","13","4","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","8","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",9,"13.3",NA,NA,NA,NA,NA,NA,0.0139,"13.3",9,"12.2",NA,NA,NA,NA,NA,NA,0.0117,"12.2",12.19,13.3,5.7,-0.649,"OCCO",0,0,"n","n",8.3,11.63283387,55.11,9.36,1.71,46.82,42.11,9.9,11.1,53.2,46.82,13.7,44.616,55.38,95.68,0.42,0.32,-1.65096869162688,-0.179733327973471
"13","1545","1545","8","8","a",NA,"2006","v","v","v","FABACEAE","Dimorphandra mollis Benth.","C","I","3.5","7.2","5.3",NA,NA,NA,NA,NA,"0.0063","8.9",4,"15.7",NA,NA,NA,NA,NA,NA,0.0194,"15.7",3.5,"15.4",NA,NA,NA,NA,NA,NA,0.0185,"15.4",15.37,15.7,8.94,-0.643,"DIMO",1.2,1.4861,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"14","3376","3376","29","7","a",NA,"2006","v","v","v","ANACARDIACEAE","Tapirira guianensis Aubl.","G","T","12","12.4",NA,NA,NA,NA,NA,NA,"0.0121","12.4",10,"12",NA,NA,NA,NA,NA,NA,0.0113,"12",10,"12.7","7.4","11.7",NA,NA,NA,NA,0.0277,"18.8",18.76,12,12.4,-0.636,"TAGU",1.104,1.4576,"n","n",20.57,21.36032462,80.69,18.53,4.09,25.69,51.69,8.8,22.6,74.3,25.69,7.1,87.645,12.36,85.24,0.47,0.21,2.21909576976463,1.5740504187589
"15","1127","1127","4","10","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia lingua (O. Berg) Mattos & D. Legrand","C","I","3","10.1","7.5",NA,NA,NA,NA,NA,"0.0124","12.6",3,"10.5","16.7",NA,NA,NA,NA,NA,0.0306,"19.7",2,"8.1","16.3",NA,NA,NA,NA,NA,0.0259,"18.2",18.17,19.73,12.58,-0.559,"MYLI",0.7395,1.0522,"n","n",8.18,11.67850155,41.77,9.64,1.28,51.31,37.77,10.6,10.9,48.7,51.31,15.2,46.6,53.4,95.77,0.41,0.31,-2.43836580956341,-0.647761188010373
"16","1451","9630","6","9","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","4","5.2","5.4",NA,NA,NA,NA,NA,"0.0044","7.5",NA,"<5",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",9,"13.1",NA,NA,NA,NA,NA,NA,0.0134,"13.1",13.08,NA,7.5,-0.558,"OCCO",0.3515,0,"n","n",12.14,15.25078936,55.27,11.32,2.69,36.72,49.27,10.9,14,63.3,36.72,12.5,57.076,42.92,92.41,0.23,0.28,-1.44070875638512,0.660131924292916
"17","692","5594","1","7","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","6.1",NA,NA,NA,NA,NA,NA,"0.0029","6.1",1,"<",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",6,"11.7",NA,NA,NA,NA,NA,NA,0.0107,"11.7",11.68,NA,6.1,-0.558,"OCCO",0.7221,1.6593,"y","n",11.93,16.5961779,45.84,12.85,2.03,40.28,44.84,13,14.9,59.7,40.28,10.6,68.317,31.68,92.59,0.25,0.3,-1.72124674976728,0.308303936459403
"18","2156","2156","12","2","a",NA,"2006","v","v","v","ASTERACEAE","Gochnatia polymorpha (Less.) Cabrera","G","I","8","14","17.8",NA,NA,NA,NA,NA,"0.0403","22.6",7,"13.5","17",NA,NA,NA,NA,NA,0.037,"21.7",7,"13.7","19.1","15.6",NA,NA,NA,NA,0.0624,"28.2",28.2,21.71,22.65,-0.555,"GOPO",0.0457,0.2033,"n","n",6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.6,41.4,97.15,0.92,0.23,1.50996001284005,-0.976322415574288
"19","1550","1550","8","8","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","5.4","0",NA,NA,NA,NA,NA,"0.0023","5.4",8,"13.5",NA,NA,NA,NA,NA,NA,0.0143,"13.5",7,"10.5",NA,NA,NA,NA,NA,NA,0.0087,"10.5",10.54,13.5,5.4,-0.514,"OCCO",0.6808,0.5873,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"20","4062","4062","31","6","a",NA,"2006","v","v","v","EUPHORBIACEAE","Pera obovata (Klotzsch) Baill.","G","T","12","15.4",NA,NA,NA,NA,NA,NA,"0.0186","15.4",10,"15.2","14.5",NA,NA,NA,NA,NA,0.0347,"21",10,"15","14",NA,NA,NA,NA,NA,0.033,"20.5",20.49,21.01,15.4,-0.509,"PEOB",1.613,1.9367,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"21","1593","1593","9","3","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","11","24.4",NA,NA,NA,NA,NA,NA,"0.0468","24.4",11,"17.8","24.5",NA,NA,NA,NA,NA,0.072,"30.3",11,"16","24.8",NA,NA,NA,NA,NA,0.0683,"29.5",29.49,30.28,24.4,-0.509,"OCCO",0.2549,0.2763,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"22","2874","2874","26","9","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","17","30.5",NA,NA,NA,NA,NA,NA,"0.0731","30.5",16,"28.8","27.5",NA,NA,NA,NA,NA,0.1245,"39.8",16,"26.9","23.1",NA,NA,NA,NA,NA,0.0989,"35.5",35.48,39.82,30.5,-0.498,"OCCO",0,0.034,"n","n",19.96,22.32469147,69.17,16.17,4.64,36.02,43.17,6.7,20.8,64,36.02,10.1,90.624,9.38,85.76,0.43,0.2,1.64860710067828,0.996777177784557
"23","2194","2194","12","7","a",NA,"2006","v","v","v","ASTERACEAE","Gochnatia polymorpha (Less.) Cabrera","G","I","4","7",NA,NA,NA,NA,NA,NA,"0.0038","7",4,"8.5",NA,NA,NA,NA,NA,NA,0.0057,"8.5",4,"8.6","6.4","5.3",NA,NA,NA,NA,0.0113,"12",11.97,8.5,7,-0.497,"GOPO",0.3742,0.643,"n","n",6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.6,41.4,97.15,0.92,0.23,1.50996001284005,-0.976322415574288
"24","1749","1749","10","5","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","10","13.8",NA,NA,NA,NA,NA,NA,"0.015","13.8",9,"17","13",NA,NA,NA,NA,NA,0.036,"21.4",8,"16.5","8.6",NA,NA,NA,NA,NA,0.0273,"18.6",18.63,21.4,13.8,-0.483,"OCCO",0.7738,0.729,"n","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"25","2399","2399","16","6","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia guianensis (Aubl.) DC.","G","T","4","6.5",NA,NA,NA,NA,NA,NA,"0.0033","6.5",4,"6","7.5","5.5",NA,NA,NA,NA,0.0096,"11.1",4,"7.6","6.1","5.6",NA,NA,NA,NA,0.0099,"11.2",11.25,11.07,6.5,-0.475,"MYGU",0.8329,1.1206,"n","n",9.72,12.26176179,50.77,17.31,4.02,43.9,34.77,4.1,21.3,56.1,43.9,5.4,66.613,33.39,94.47,0.68,0.28,2.85209742582359,-1.23939745655777
"26","2226","2226","12","10","a",NA,"2006","v","v","v","ASTERACEAE","Gochnatia polymorpha (Less.) Cabrera","G","I","3.5","8.4",NA,NA,NA,NA,NA,NA,"0.0055","8.4",4,"10.5","7.5",NA,NA,NA,NA,NA,0.0131,"12.9",4,"9.7","8.9",NA,NA,NA,NA,NA,0.0135,"13.1",13.12,12.9,8.4,-0.472,"GOPO",0.3742,0.643,"n","n",6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.6,41.4,97.15,0.92,0.23,1.50996001284005,-0.976322415574288
"27","657","6070","1","4","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","5",NA,NA,NA,NA,NA,NA,"0.002","5",6.5,"6.9",NA,NA,NA,NA,NA,NA,0.0037,"6.9",5,"8.1","5.3",NA,NA,NA,NA,NA,0.0074,"9.7",9.72,6.9,5,-0.472,"OCCO",0.7984,1.0087,"n","n",11.93,16.5961779,45.84,12.85,2.03,40.28,44.84,13,14.9,59.7,40.28,10.6,68.317,31.68,92.59,0.25,0.3,-1.72124674976728,0.308303936459403
"28","2265","4312","14","6","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","6","6.2",NA,NA,NA,NA,NA,NA,"0.003","6.2",5,"15.3",NA,NA,NA,NA,NA,NA,0.0184,"15.3",2.5,"10.7",NA,NA,NA,NA,NA,NA,0.0089,"10.7",10.67,15.3,6.2,-0.447,"VOTU",0.6535,0.9646,"n","n",6.76,12.01158891,56.31,10.78,2.22,44.68,42.31,10.6,13,55.3,44.68,13.2,65.285,34.72,96.98,0.22,0.38,-1.69373799955675,0.526169934250018
"29","1513","18061","8","5","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia bella Cambess","C","I","4","7",NA,NA,NA,NA,NA,NA,"0.0038","7",NA,"<5",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",2.5,"11.4",NA,NA,NA,NA,NA,NA,0.0103,"11.4",11.43,NA,7,-0.443,"MYBE",1.3483,0,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"30","2201","4263","12","7","a",NA,"2006","v","v","v","ASTERACEAE","Gochnatia polymorpha (Less.) Cabrera","G","I","3","6","5.8",NA,NA,NA,NA,NA,"0.0055","8.3",5,"8.2","7.4","6.5",NA,NA,NA,NA,0.0129,"12.8",5,"8.4","7.6","5.8",NA,NA,NA,NA,0.0128,"12.7",12.75,12.82,8.35,-0.44,"GOPO",0.2602,0.4091,"n","n",6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.6,41.4,97.15,0.92,0.23,1.50996001284005,-0.976322415574288
"31","2824","2824","26","6","a",NA,"2006","v","v","v","COMBRETACEAE","Terminalia glabrescens Mart.","G","I","14","14","13",NA,NA,NA,NA,NA,"0.0287","19.1",14,"16","13","12",NA,NA,NA,NA,0.0447,"23.9",14,"15.5","11.9","12.4",NA,NA,NA,NA,0.0422,"23.2",23.18,23.85,19.1,-0.408,"TEGL",0.591,0.7432,"n","n",19.96,22.32469147,69.17,16.17,4.64,36.02,43.17,6.7,20.8,64,36.02,10.1,90.624,9.38,85.76,0.43,0.2,1.64860710067828,0.996777177784557
"32","2506","2506","16","7","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","6","21.3","25","25.6",NA,NA,NA,NA,"0.1362","41.6",10,"21.5","24.5","26",NA,NA,NA,NA,0.1365,"41.7",10,"21.6","23.6","25.1","20.8",NA,NA,NA,0.1642,"45.7",45.72,41.7,41.64,-0.408,"VOTU",0.1021,0.1034,"n","n",9.72,12.26176179,50.77,17.31,4.02,43.9,34.77,4.1,21.3,56.1,43.9,5.4,66.613,33.39,94.47,0.68,0.28,2.85209742582359,-1.23939745655777
"33","1902","6857","13","1","a",NA,"2006","v","v","v","BOMBACACEAE","Eriotheca gracilipes (K.Schum.) A.Robyns","C","I","2.5","6.9",NA,NA,NA,NA,NA,NA,"0.0037","6.9",4.5,"8.6",NA,NA,NA,NA,NA,NA,0.0058,"8.6",4.5,"10.9",NA,NA,NA,NA,NA,NA,0.0094,"10.9",10.92,8.6,6.9,-0.402,"ERGR",0.5719,0.8943,"n","n",8.3,11.63283387,55.11,9.36,1.71,46.82,42.11,9.9,11.1,53.2,46.82,13.7,44.616,55.38,95.68,0.42,0.32,-1.65096869162688,-0.179733327973471
"34","2657","2657","18","3","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","12","38.8",NA,NA,NA,NA,NA,NA,"0.1182","38.8",12,"38",NA,NA,NA,NA,NA,NA,0.1134,"38",11,"36.6","22.1",NA,NA,NA,NA,NA,0.1434,"42.7",42.73,38,38.8,-0.393,"VOTU",0,0,"n","n",15.69,17.72782992,49.19,15.49,3.07,50.25,31.19,5.7,18.6,49.8,50.25,7.1,78.096,21.9,89.39,1,0.26,2.2926549309439,-1.77857583396474
"35","2747","2747","18","10","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","10","10.9",NA,NA,NA,NA,NA,NA,"0.0093","10.9",9,"10.5","11.5",NA,NA,NA,NA,NA,0.019,"15.6",8,"9.7","11.2",NA,NA,NA,NA,NA,0.0171,"14.8",14.77,15.57,10.9,-0.387,"OCCO",0.7705,0.702,"n","n",15.69,17.72782992,49.19,15.49,3.07,50.25,31.19,5.7,18.6,49.8,50.25,7.1,78.096,21.9,89.39,1,0.26,2.2926549309439,-1.77857583396474
"36","1516","1516","8","6","a",NA,"2006","v","v","v","FABACEAE","Machaerium acutifolium Vogel","C","I","8","7.6",NA,NA,NA,NA,NA,NA,"0.0045","7.6",7,"7",NA,NA,NA,NA,NA,NA,0.0038,"7",6,"11.4",NA,NA,NA,NA,NA,NA,0.0103,"11.4",11.43,7,7.6,-0.383,"MAAC",0.7569,0.7966,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"37","4533","4533","34","3","a",NA,"2006","v","v","v","EUPHORBIACEAE","Pera obovata (Klotzsch) Baill.","G","T","18","33",NA,NA,NA,NA,NA,NA,"0.0855","33",16,"35.3",NA,NA,NA,NA,NA,NA,0.0979,"35.3",16,"36.8",NA,NA,NA,NA,NA,NA,0.1065,"36.8",36.83,35.3,33,-0.383,"PEOB",0,0.0973,"n","n",24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17,64.3,35.68,8.7,86.56,13.44,81.54,0.81,0.14,1.87299982397756,-0.0719839806568736
"38","3122","3122","28","4","a",NA,"2006","v","v","v","RUBIACEAE","Faramea montevidensis (Cham. & Schltdl) DC. ","G","T","10","6.9","6.1",NA,NA,NA,NA,NA,"0.0067","9.2",10,"10","6.9","6",NA,NA,NA,NA,0.0144,"13.6",10,"9.4","6.9","5.8",NA,NA,NA,NA,0.0133,"13",13.02,13.55,9.21,-0.381,"FAMO",1.4444,1.8101,"n","n",22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16,2.63301229991919,1.68708054758838
"39","2885","2885","27","1","a",NA,"2006","v","v","v","BURSERACEAE","Protium heptaphyllum (Aubl.) Marchand","G","T","9","10.4",NA,NA,NA,NA,NA,NA,"0.0085","10.4",9,"10.3",NA,NA,NA,NA,NA,NA,0.0083,"10.3",11,"10.2","9.9",NA,NA,NA,NA,NA,0.0158,"14.2",14.19,10.3,10.4,-0.379,"PRHE",1.0003,1.8149,"n","n",20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.7,85.6,0.71,0.23,1.63213751450122,0.994860040486908
"40","677","677","1","7","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","6.6",NA,NA,NA,NA,NA,NA,"0.0034","6.6",9,"11.5",NA,NA,NA,NA,NA,NA,0.0104,"11.5",8,"10.2",NA,NA,NA,NA,NA,NA,0.0081,"10.2",10.16,11.5,6.6,-0.356,"OCCO",0.37,0.4162,"n","n",11.93,16.5961779,45.84,12.85,2.03,40.28,44.84,13,14.9,59.7,40.28,10.6,68.317,31.68,92.59,0.25,0.3,-1.72124674976728,0.308303936459403
"41","3901","3901","29","8","a",NA,"2006","v","v","v","ANACARDIACEAE","Tapirira guianensis Aubl.","G","T","6","5.5",NA,NA,NA,NA,NA,NA,"0.0024","5.5",7,"5.9",NA,NA,NA,NA,NA,NA,0.0027,"5.9",6,"6.6","6.1",NA,NA,NA,NA,NA,0.0063,"9",8.99,5.9,5.5,-0.349,"TAGU",1.8673,1.9724,"n","n",20.57,21.36032462,80.69,18.53,4.09,25.69,51.69,8.8,22.6,74.3,25.69,7.1,87.645,12.36,85.24,0.47,0.21,2.21909576976463,1.5740504187589
"42","1562","18782","8","9","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","6.1",NA,NA,NA,NA,NA,NA,"0.0029","6.1",10,"11.8",NA,NA,NA,NA,NA,NA,0.0109,"11.8",8,"9.4",NA,NA,NA,NA,NA,NA,0.0069,"9.4",9.4,11.8,6.1,-0.33,"OCCO",0.5864,0.217,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"43","1329","1329","7","10","a",NA,"2006","v","v","v","FABACEAE","Platypodium elegans Vogel","G","I","8","16.2",NA,NA,NA,NA,NA,NA,"0.0206","16.2",7.5,"17",NA,NA,NA,NA,NA,NA,0.0227,"17",7,"19.3",NA,NA,NA,NA,NA,NA,0.0293,"19.3",19.3,17,16.2,-0.31,"PLEL",0.3663,0.4951,"n","n",10.41,12.84792015,49.94,9.34,2.95,44.77,42.94,10.3,12.3,55.2,44.77,11.3,52.374,47.63,93.88,0.46,0.3,-1.05485853530723,-0.171557631591878
"44","2120","2120","20","9","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","8","24.3",NA,NA,NA,NA,NA,NA,"0.0464","24.3",7.5,"22.9",NA,NA,NA,NA,NA,NA,0.0412,"22.9",6,"21.3","17",NA,NA,NA,NA,NA,0.0585,"27.3",27.29,22.9,24.3,-0.299,"VOTU",0.8308,1.2363,"n","n",13.61,17.7712121,74.19,12.01,3.88,29.92,54.19,10.6,15.9,70.1,29.92,13.6,74.571,25.43,91.16,0.45,0.26,-0.270201353212592,1.69880953113054
